City,Gender,Tenure Months,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,is_senior,has_partner,has_dependents,is_paperless_billing,payment_method_auto,is_month_to_month,contract_term,contract_months,has_phone_service,has_multiple_lines,has_internet_service,has_dsl,has_fiber_optic,offers_online_security,offers_online_backup,offers_device_protection,offers_tech_support,offers_streaming_tv,offers_streaming_movies,service_count,internet_only_customer,all_services_with_internet,high_value_customer,tenure_bucket,avg_charge_per_month,charge_ratio,avg_monthly_charge_delta
Los Angeles,Male,2,53.85,108.15,1,86,3239,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,4,0,0,0,0-6,54.075,2.0083565459610027,-0.22500000000000142
Los Angeles,Female,2,70.7,151.65,1,67,2701,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0-6,75.825,2.144978783592645,-5.125
Los Angeles,Female,8,99.65,820.5,1,86,5372,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,6,0,1,1,7-12,102.5625,8.233818364274962,-2.9124999999999943
Los Angeles,Female,28,104.8,3046.05,1,84,5003,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,7,0,1,1,25-48,108.78750000000001,29.06536259541985,-3.9875000000000114
Los Angeles,Male,49,103.7,5036.3,1,89,5340,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,7,0,1,1,49+,102.78163265306122,48.56605593056895,0.9183673469387799
Los Angeles,Female,10,55.2,528.35,1,78,5925,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,4,0,0,1,7-12,52.835,9.571557971014492,2.365000000000002
Los Angeles,Male,1,39.65,39.65,1,100,5433,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,3,1,0,1,0-6,39.65,1.0,0.0
Los Angeles,Male,1,20.15,20.15,1,92,4832,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0-6,20.15,1.0,0.0
Los Angeles,Male,47,99.35,4749.15,1,77,5789,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,6,0,1,1,25-48,101.04574468085106,47.802214393558124,-1.695744680851064
Los Angeles,Male,1,30.2,30.2,1,97,2915,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,2,1,0,0,0-6,30.2,1.0,0.0
Los Angeles,Female,17,64.7,1093.1,1,74,3022,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,4,0,0,0,13-24,64.3,16.894899536321482,0.4000000000000057
Los Angeles,Male,5,69.7,316.9,1,66,2454,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0-6,63.379999999999995,4.5466284074605445,6.320000000000007
Los Angeles,Male,34,106.35,3549.25,1,65,2941,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,7,0,1,0,25-48,104.38970588235294,33.37329572167372,1.9602941176470523
Los Angeles,Female,11,97.85,1105.4,1,70,5674,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,6,0,1,1,7-12,100.4909090909091,11.29688298415943,-2.640909090909105
Los Angeles,Female,2,80.65,144.15,1,90,5586,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,3,0,0,1,0-6,72.075,1.78735275883447,8.575000000000003
Los Angeles,Female,15,99.1,1426.4,1,82,2966,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,6,0,1,0,13-24,95.09333333333333,14.39354187689203,4.006666666666661
Los Angeles,Female,8,80.65,633.3,1,69,5302,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,4,0,0,1,7-12,79.1625,7.852448853068815,1.4875000000000114
